id,i1,f1,s1,s2,b1,t1,d1,dec1,nul1
17328,866608,808.16,val-328,unique-00017328,true,2020-01-01T04:48:48.000328Z,2020-11-24,173.28,328
17329,302369,809.13,val-329,unique-00017329,false,2020-01-01T04:48:49.000329Z,2020-11-25,173.29,329
17330,738130,810.1,val-330,unique-00017330,false,2020-01-01T04:48:50.000330Z,2020-11-26,173.3,330
17331,173891,811.07,val-331,unique-00017331,true,2020-01-01T04:48:51.000331Z,2020-11-27,173.31,331
17332,609652,812.04,val-332,unique-00017332,false,2020-01-01T04:48:52.000332Z,2020-11-28,173.32,
17333,45413,813.01,val-333,unique-00017333,false,2020-01-01T04:48:53.000333Z,2020-11-29,173.33,333
17334,481174,813.98,val-334,unique-00017334,true,2020-01-01T04:48:54.000334Z,2020-11-30,173.34,334
17335,916935,814.95,val-335,unique-00017335,false,2020-01-01T04:48:55.000335Z,2020-12-01,173.35,335
17336,352696,815.92,val-336,unique-00017336,false,2020-01-01T04:48:56.000336Z,2020-12-02,173.36,336
17337,788457,816.89,val-337,unique-00017337,true,2020-01-01T04:48:57.000337Z,2020-12-03,173.37,337
17338,224218,817.86,val-338,unique-00017338,false,2020-01-01T04:48:58.000338Z,2020-12-04,173.38,338
17339,659979,818.83,val-339,unique-00017339,false,2020-01-01T04:48:59.000339Z,2020-12-05,173.39,
17340,95740,819.8,val-340,unique-00017340,true,2020-01-01T04:49:00.000340Z,2020-12-06,173.4,340
17341,531501,820.77,val-341,unique-00017341,false,2020-01-01T04:49:01.000341Z,2020-12-07,173.41,341
17342,967262,821.74,val-342,unique-00017342,false,2020-01-01T04:49:02.000342Z,2020-12-08,173.42,342
17343,403023,822.71,val-343,unique-00017343,true,2020-01-01T04:49:03.000343Z,2020-12-09,173.43,343
17344,838784,823.68,val-344,unique-00017344,false,2020-01-01T04:49:04.000344Z,2020-12-10,173.44,344
17345,274545,824.65,val-345,unique-00017345,false,2020-01-01T04:49:05.000345Z,2020-12-11,173.45,345
17346,710306,825.62,val-346,unique-00017346,true,2020-01-01T04:49:06.000346Z,2020-12-12,173.46,
17347,146067,826.59,val-347,unique-00017347,false,2020-01-01T04:49:07.000347Z,2020-12-13,173.47,347
17348,581828,827.56,val-348,unique-00017348,false,2020-01-01T04:49:08.000348Z,2020-12-14,173.48,348
17349,17589,828.53,val-349,unique-00017349,true,2020-01-01T04:49:09.000349Z,2020-12-15,173.49,349
17350,453350,829.5,val-350,unique-00017350,false,2020-01-01T04:49:10.000350Z,2020-12-16,173.5,350
17351,889111,830.47,val-351,unique-00017351,false,2020-01-01T04:49:11.000351Z,2020-12-17,173.51,351
17352,324872,831.44,val-352,unique-00017352,true,2020-01-01T04:49:12.000352Z,2020-12-18,173.52,352
17353,760633,832.41,val-353,unique-00017353,false,2020-01-01T04:49:13.000353Z,2020-12-19,173.53,
17354,196394,833.38,val-354,unique-00017354,false,2020-01-01T04:49:14.000354Z,2020-12-20,173.54,354
17355,632155,834.35,val-355,unique-00017355,true,2020-01-01T04:49:15.000355Z,2020-12-21,173.55,355
17356,67916,835.32,val-356,unique-00017356,false,2020-01-01T04:49:16.000356Z,2020-12-22,173.56,356
17357,503677,836.29,val-357,unique-00017357,false,2020-01-01T04:49:17.000357Z,2020-12-23,173.57,357
17358,939438,837.26,val-358,unique-00017358,true,2020-01-01T04:49:18.000358Z,2020-12-24,173.58,358
17359,375199,838.23,val-359,unique-00017359,false,2020-01-01T04:49:19.000359Z,2020-12-25,173.59,359
17360,810960,839.2,val-360,unique-00017360,false,2020-01-01T04:49:20.000360Z,2020-12-26,173.6,
17361,246721,840.17,val-361,unique-00017361,true,2020-01-01T04:49:21.000361Z,2020-12-27,173.61,361
17362,682482,841.14,val-362,unique-00017362,false,2020-01-01T04:49:22.000362Z,2020-12-28,173.62,362
17363,118243,842.11,val-363,unique-00017363,false,2020-01-01T04:49:23.000363Z,2020-12-29,173.63,363
17364,554004,843.08,val-364,unique-00017364,true,2020-01-01T04:49:24.000364Z,2020-12-30,173.64,364
17365,989765,844.05,val-365,unique-00017365,false,2020-01-01T04:49:25.000365Z,2020-12-31,173.65,365
17366,425526,845.02,val-366,unique-00017366,false,2020-01-01T04:49:26.000366Z,2021-01-01,173.66,366
17367,861287,845.99,val-367,unique-00017367,true,2020-01-01T04:49:27.000367Z,2021-01-02,173.67,
17368,297048,846.96,val-368,unique-00017368,false,2020-01-01T04:49:28.000368Z,2021-01-03,173.68,368
17369,732809,847.93,val-369,unique-00017369,false,2020-01-01T04:49:29.000369Z,2021-01-04,173.69,369
17370,168570,848.9,val-370,unique-00017370,true,2020-01-01T04:49:30.000370Z,2021-01-05,173.7,370
17371,604331,849.87,val-371,unique-00017371,false,2020-01-01T04:49:31.000371Z,2021-01-06,173.71,371
17372,40092,850.84,val-372,unique-00017372,false,2020-01-01T04:49:32.000372Z,2021-01-07,173.72,372
17373,475853,851.81,val-373,unique-00017373,true,2020-01-01T04:49:33.000373Z,2021-01-08,173.73,373
17374,911614,852.78,val-374,unique-00017374,false,2020-01-01T04:49:34.000374Z,2021-01-09,173.74,
17375,347375,853.75,val-375,unique-00017375,false,2020-01-01T04:49:35.000375Z,2021-01-10,173.75,375
17376,783136,854.72,val-376,unique-00017376,true,2020-01-01T04:49:36.000376Z,2021-01-11,173.76,376
17377,218897,855.69,val-377,unique-00017377,false,2020-01-01T04:49:37.000377Z,2021-01-12,173.77,377
17378,654658,856.66,val-378,unique-00017378,false,2020-01-01T04:49:38.000378Z,2021-01-13,173.78,378
17379,90419,857.63,val-379,unique-00017379,true,2020-01-01T04:49:39.000379Z,2021-01-14,173.79,379
17380,526180,858.6,val-380,unique-00017380,false,2020-01-01T04:49:40.000380Z,2021-01-15,173.8,380
17381,961941,859.57,val-381,unique-00017381,false,2020-01-01T04:49:41.000381Z,2021-01-16,173.81,
17382,397702,860.54,val-382,unique-00017382,true,2020-01-01T04:49:42.000382Z,2021-01-17,173.82,382
17383,833463,861.51,val-383,unique-00017383,false,2020-01-01T04:49:43.000383Z,2021-01-18,173.83,383
17384,269224,862.48,val-384,unique-00017384,false,2020-01-01T04:49:44.000384Z,2021-01-19,173.84,384
17385,704985,863.45,val-385,unique-00017385,true,2020-01-01T04:49:45.000385Z,2021-01-20,173.85,385
17386,140746,864.42,val-386,unique-00017386,false,2020-01-01T04:49:46.000386Z,2021-01-21,173.86,386
17387,576507,865.39,val-387,unique-00017387,false,2020-01-01T04:49:47.000387Z,2021-01-22,173.87,387
17388,12268,866.36,val-388,unique-00017388,true,2020-01-01T04:49:48.000388Z,2021-01-23,173.88,
17389,448029,867.33,val-389,unique-00017389,false,2020-01-01T04:49:49.000389Z,2021-01-24,173.89,389
17390,883790,868.3,val-390,unique-00017390,false,2020-01-01T04:49:50.000390Z,2021-01-25,173.9,390
17391,319551,869.27,val-391,unique-00017391,true,2020-01-01T04:49:51.000391Z,2021-01-26,173.91,391
17392,755312,870.24,val-392,unique-00017392,false,2020-01-01T04:49:52.000392Z,2021-01-27,173.92,392
17393,191073,871.21,val-393,unique-00017393,false,2020-01-01T04:49:53.000393Z,2021-01-28,173.93,393
17394,626834,872.18,val-394,unique-00017394,true,2020-01-01T04:49:54.000394Z,2021-01-29,173.94,394
17395,62595,873.15,val-395,unique-00017395,false,2020-01-01T04:49:55.000395Z,2021-01-30,173.95,
17396,498356,874.12,val-396,unique-00017396,false,2020-01-01T04:49:56.000396Z,2021-01-31,173.96,396
17397,934117,875.09,val-397,unique-00017397,true,2020-01-01T04:49:57.000397Z,2021-02-01,173.97,397
17398,369878,876.06,val-398,unique-00017398,false,2020-01-01T04:49:58.000398Z,2021-02-02,173.98,398
17399,805639,877.03,val-399,unique-00017399,false,2020-01-01T04:49:59.000399Z,2021-02-03,173.99,399
17400,241400,878.0,val-400,unique-00017400,true,2020-01-01T04:50:00.000400Z,2021-02-04,174,400
17401,677161,878.97,val-401,unique-00017401,false,2020-01-01T04:50:01.000401Z,2021-02-05,174.01,401
17402,112922,879.94,val-402,unique-00017402,false,2020-01-01T04:50:02.000402Z,2021-02-06,174.02,
17403,548683,880.91,val-403,unique-00017403,true,2020-01-01T04:50:03.000403Z,2021-02-07,174.03,403
17404,984444,881.88,val-404,unique-00017404,false,2020-01-01T04:50:04.000404Z,2021-02-08,174.04,404
17405,420205,882.85,val-405,unique-00017405,false,2020-01-01T04:50:05.000405Z,2021-02-09,174.05,405
17406,855966,883.82,val-406,unique-00017406,true,2020-01-01T04:50:06.000406Z,2021-02-10,174.06,406
17407,291727,884.79,val-407,unique-00017407,false,2020-01-01T04:50:07.000407Z,2021-02-11,174.07,407
17408,727488,885.76,val-408,unique-00017408,false,2020-01-01T04:50:08.000408Z,2021-02-12,174.08,408
17409,163249,886.73,val-409,unique-00017409,true,2020-01-01T04:50:09.000409Z,2021-02-13,174.09,
17410,599010,887.7,val-410,unique-00017410,false,2020-01-01T04:50:10.000410Z,2021-02-14,174.1,410
17411,34771,888.67,val-411,unique-00017411,false,2020-01-01T04:50:11.000411Z,2021-02-15,174.11,411
17412,470532,889.64,val-412,unique-00017412,true,2020-01-01T04:50:12.000412Z,2021-02-16,174.12,412
17413,906293,890.61,val-413,unique-00017413,false,2020-01-01T04:50:13.000413Z,2021-02-17,174.13,413
17414,342054,891.58,val-414,unique-00017414,false,2020-01-01T04:50:14.000414Z,2021-02-18,174.14,414
17415,777815,892.55,val-415,unique-00017415,true,2020-01-01T04:50:15.000415Z,2021-02-19,174.15,415
17416,213576,893.52,val-416,unique-00017416,false,2020-01-01T04:50:16.000416Z,2021-02-20,174.16,
17417,649337,894.49,val-417,unique-00017417,false,2020-01-01T04:50:17.000417Z,2021-02-21,174.17,417
17418,85098,895.46,val-418,unique-00017418,true,2020-01-01T04:50:18.000418Z,2021-02-22,174.18,418
17419,520859,896.43,val-419,unique-00017419,false,2020-01-01T04:50:19.000419Z,2021-02-23,174.19,419
17420,956620,897.4,val-420,unique-00017420,false,2020-01-01T04:50:20.000420Z,2021-02-24,174.2,420
17421,392381,898.37,val-421,unique-00017421,true,2020-01-01T04:50:21.000421Z,2021-02-25,174.21,421
17422,828142,899.34,val-422,unique-00017422,false,2020-01-01T04:50:22.000422Z,2021-02-26,174.22,422
17423,263903,900.31,val-423,unique-00017423,false,2020-01-01T04:50:23.000423Z,2021-02-27,174.23,
17424,699664,901.28,val-424,unique-00017424,true,2020-01-01T04:50:24.000424Z,2021-02-28,174.24,424
17425,135425,902.25,val-425,unique-00017425,false,2020-01-01T04:50:25.000425Z,2021-03-01,174.25,425
17426,571186,903.22,val-426,unique-00017426,false,2020-01-01T04:50:26.000426Z,2021-03-02,174.26,426
17427,6947,904.19,val-427,unique-00017427,true,2020-01-01T04:50:27.000427Z,2021-03-03,174.27,427
17428,442708,905.16,val-428,unique-00017428,false,2020-01-01T04:50:28.000428Z,2021-03-04,174.28,428
17429,878469,906.13,val-429,unique-00017429,false,2020-01-01T04:50:29.000429Z,2021-03-05,174.29,429
17430,314230,907.1,val-430,unique-00017430,true,2020-01-01T04:50:30.000430Z,2021-03-06,174.3,
17431,749991,908.07,val-431,unique-00017431,false,2020-01-01T04:50:31.000431Z,2021-03-07,174.31,431
17432,185752,909.04,val-432,unique-00017432,false,2020-01-01T04:50:32.000432Z,2021-03-08,174.32,432
17433,621513,910.01,val-433,unique-00017433,true,2020-01-01T04:50:33.000433Z,2021-03-09,174.33,433
17434,57274,910.98,val-434,unique-00017434,false,2020-01-01T04:50:34.000434Z,2021-03-10,174.34,434
17435,493035,911.95,val-435,unique-00017435,false,2020-01-01T04:50:35.000435Z,2021-03-11,174.35,435
17436,928796,912.92,val-436,unique-00017436,true,2020-01-01T04:50:36.000436Z,2021-03-12,174.36,436
17437,364557,913.89,val-437,unique-00017437,false,2020-01-01T04:50:37.000437Z,2021-03-13,174.37,
17438,800318,914.86,val-438,unique-00017438,false,2020-01-01T04:50:38.000438Z,2021-03-14,174.38,438
17439,236079,915.83,val-439,unique-00017439,true,2020-01-01T04:50:39.000439Z,2021-03-15,174.39,439
17440,671840,916.8,val-440,unique-00017440,false,2020-01-01T04:50:40.000440Z,2021-03-16,174.4,440
17441,107601,917.77,val-441,unique-00017441,false,2020-01-01T04:50:41.000441Z,2021-03-17,174.41,441
17442,543362,918.74,val-442,unique-00017442,true,2020-01-01T04:50:42.000442Z,2021-03-18,174.42,442
17443,979123,919.71,val-443,unique-00017443,false,2020-01-01T04:50:43.000443Z,2021-03-19,174.43,443
17444,414884,920.68,val-444,unique-00017444,false,2020-01-01T04:50:44.000444Z,2021-03-20,174.44,
17445,850645,921.65,val-445,unique-00017445,true,2020-01-01T04:50:45.000445Z,2021-03-21,174.45,445
17446,286406,922.62,val-446,unique-00017446,false,2020-01-01T04:50:46.000446Z,2021-03-22,174.46,446
17447,722167,923.59,val-447,unique-00017447,false,2020-01-01T04:50:47.000447Z,2021-03-23,174.47,447
17448,157928,924.56,val-448,unique-00017448,true,2020-01-01T04:50:48.000448Z,2021-03-24,174.48,448
17449,593689,925.53,val-449,unique-00017449,false,2020-01-01T04:50:49.000449Z,2021-03-25,174.49,449
17450,29450,926.5,val-450,unique-00017450,false,2020-01-01T04:50:50.000450Z,2021-03-26,174.5,450
17451,465211,927.47,val-451,unique-00017451,true,2020-01-01T04:50:51.000451Z,2021-03-27,174.51,
17452,900972,928.44,val-452,unique-00017452,false,2020-01-01T04:50:52.000452Z,2021-03-28,174.52,452
17453,336733,929.41,val-453,unique-00017453,false,2020-01-01T04:50:53.000453Z,2021-03-29,174.53,453
17454,772494,930.38,val-454,unique-00017454,true,2020-01-01T04:50:54.000454Z,2021-03-30,174.54,454
17455,208255,931.35,val-455,unique-00017455,false,2020-01-01T04:50:55.000455Z,2021-03-31,174.55,455
17456,644016,932.32,val-456,unique-00017456,false,2020-01-01T04:50:56.000456Z,2021-04-01,174.56,456
17457,79777,933.29,val-457,unique-00017457,true,2020-01-01T04:50:57.000457Z,2021-04-02,174.57,457
17458,515538,934.26,val-458,unique-00017458,false,2020-01-01T04:50:58.000458Z,2021-04-03,174.58,
17459,951299,935.23,val-459,unique-00017459,false,2020-01-01T04:50:59.000459Z,2021-04-04,174.59,459
17460,387060,936.2,val-460,unique-00017460,true,2020-01-01T04:51:00.000460Z,2021-04-05,174.6,460
17461,822821,937.17,val-461,unique-00017461,false,2020-01-01T04:51:01.000461Z,2021-04-06,174.61,461
17462,258582,938.14,val-462,unique-00017462,false,2020-01-01T04:51:02.000462Z,2021-04-07,174.62,462
17463,694343,939.11,val-463,unique-00017463,true,2020-01-01T04:51:03.000463Z,2021-04-08,174.63,463
17464,130104,940.08,val-464,unique-00017464,false,2020-01-01T04:51:04.000464Z,2021-04-09,174.64,464
17465,565865,941.05,val-465,unique-00017465,false,2020-01-01T04:51:05.000465Z,2021-04-10,174.65,
17466,1626,942.02,val-466,unique-00017466,true,2020-01-01T04:51:06.000466Z,2021-04-11,174.66,466
17467,437387,942.99,val-467,unique-00017467,false,2020-01-01T04:51:07.000467Z,2021-04-12,174.67,467
17468,873148,943.96,val-468,unique-00017468,false,2020-01-01T04:51:08.000468Z,2021-04-13,174.68,468
17469,308909,944.93,val-469,unique-00017469,true,2020-01-01T04:51:09.000469Z,2021-04-14,174.69,469
17470,744670,945.9,val-470,unique-00017470,false,2020-01-01T04:51:10.000470Z,2021-04-15,174.7,470
17471,180431,946.87,val-471,unique-00017471,false,2020-01-01T04:51:11.000471Z,2021-04-16,174.71,471
17472,616192,947.84,val-472,unique-00017472,true,2020-01-01T04:51:12.000472Z,2021-04-17,174.72,
17473,51953,948.81,val-473,unique-00017473,false,2020-01-01T04:51:13.000473Z,2021-04-18,174.73,473
17474,487714,949.78,val-474,unique-00017474,false,2020-01-01T04:51:14.000474Z,2021-04-19,174.74,474
17475,923475,950.75,val-475,unique-00017475,true,2020-01-01T04:51:15.000475Z,2021-04-20,174.75,475
17476,359236,951.72,val-476,unique-00017476,false,2020-01-01T04:51:16.000476Z,2021-04-21,174.76,476
17477,794997,952.69,val-477,unique-00017477,false,2020-01-01T04:51:17.000477Z,2021-04-22,174.77,477
17478,230758,953.66,val-478,unique-00017478,true,2020-01-01T04:51:18.000478Z,2021-04-23,174.78,478
17479,666519,954.63,val-479,unique-00017479,false,2020-01-01T04:51:19.000479Z,2021-04-24,174.79,
17480,102280,955.6,val-480,unique-00017480,false,2020-01-01T04:51:20.000480Z,2021-04-25,174.8,480
17481,538041,956.57,val-481,unique-00017481,true,2020-01-01T04:51:21.000481Z,2021-04-26,174.81,481
17482,973802,957.54,val-482,unique-00017482,false,2020-01-01T04:51:22.000482Z,2021-04-27,174.82,482
17483,409563,958.51,val-483,unique-00017483,false,2020-01-01T04:51:23.000483Z,2021-04-28,174.83,483
17484,845324,959.48,val-484,unique-00017484,true,2020-01-01T04:51:24.000484Z,2021-04-29,174.84,484
17485,281085,960.45,val-485,unique-00017485,false,2020-01-01T04:51:25.000485Z,2021-04-30,174.85,485
17486,716846,961.42,val-486,unique-00017486,false,2020-01-01T04:51:26.000486Z,2021-05-01,174.86,
17487,152607,962.39,val-487,unique-00017487,true,2020-01-01T04:51:27.000487Z,2021-05-02,174.87,487
17488,588368,963.36,val-488,unique-00017488,false,2020-01-01T04:51:28.000488Z,2021-05-03,174.88,488
17489,24129,964.33,val-489,unique-00017489,false,2020-01-01T04:51:29.000489Z,2021-05-04,174.89,489
17490,459890,965.3,val-490,unique-00017490,true,2020-01-01T04:51:30.000490Z,2021-05-05,174.9,490
17491,895651,966.27,val-491,unique-00017491,false,2020-01-01T04:51:31.000491Z,2021-05-06,174.91,491
17492,331412,967.24,val-492,unique-00017492,false,2020-01-01T04:51:32.000492Z,2021-05-07,174.92,492
17493,767173,968.21,val-493,unique-00017493,true,2020-01-01T04:51:33.000493Z,2021-05-08,174.93,
17494,202934,969.18,val-494,unique-00017494,false,2020-01-01T04:51:34.000494Z,2021-05-09,174.94,494
17495,638695,970.15,val-495,unique-00017495,false,2020-01-01T04:51:35.000495Z,2021-05-10,174.95,495
17496,74456,971.12,val-496,unique-00017496,true,2020-01-01T04:51:36.000496Z,2021-05-11,174.96,496
17497,510217,972.09,val-497,unique-00017497,false,2020-01-01T04:51:37.000497Z,2021-05-12,174.97,497
17498,945978,973.06,val-498,unique-00017498,false,2020-01-01T04:51:38.000498Z,2021-05-13,174.98,498
17499,381739,974.03,val-499,unique-00017499,true,2020-01-01T04:51:39.000499Z,2021-05-14,174.99,499
17500,817500,975.0,val-500,unique-00017500,false,2020-01-01T04:51:40.000500Z,2021-05-15,175,
17501,253261,975.97,val-501,unique-00017501,false,2020-01-01T04:51:41.000501Z,2021-05-16,175.01,1
17502,689022,976.94,val-502,unique-00017502,true,2020-01-01T04:51:42.000502Z,2021-05-17,175.02,2
17503,124783,977.91,val-503,unique-00017503,false,2020-01-01T04:51:43.000503Z,2021-05-18,175.03,3
17504,560544,978.88,val-504,unique-00017504,false,2020-01-01T04:51:44.000504Z,2021-05-19,175.04,4
17505,996305,979.85,val-505,unique-00017505,true,2020-01-01T04:51:45.000505Z,2021-05-20,175.05,5
17506,432066,980.82,val-506,unique-00017506,false,2020-01-01T04:51:46.000506Z,2021-05-21,175.06,6
17507,867827,981.79,val-507,unique-00017507,false,2020-01-01T04:51:47.000507Z,2021-05-22,175.07,
17508,303588,982.76,val-508,unique-00017508,true,2020-01-01T04:51:48.000508Z,2021-05-23,175.08,8
17509,739349,983.73,val-509,unique-00017509,false,2020-01-01T04:51:49.000509Z,2021-05-24,175.09,9
17510,175110,984.7,val-510,unique-00017510,false,2020-01-01T04:51:50.000510Z,2021-05-25,175.1,10
17511,610871,985.67,val-511,unique-00017511,true,2020-01-01T04:51:51.000511Z,2021-05-26,175.11,11
17512,46632,986.64,val-512,unique-00017512,false,2020-01-01T04:51:52.000512Z,2021-05-27,175.12,12
17513,482393,987.61,val-513,unique-00017513,false,2020-01-01T04:51:53.000513Z,2021-05-28,175.13,13
17514,918154,988.58,val-514,unique-00017514,true,2020-01-01T04:51:54.000514Z,2021-05-29,175.14,
17515,353915,989.55,val-515,unique-00017515,false,2020-01-01T04:51:55.000515Z,2021-05-30,175.15,15
17516,789676,990.52,val-516,unique-00017516,false,2020-01-01T04:51:56.000516Z,2021-05-31,175.16,16
17517,225437,991.49,val-517,unique-00017517,true,2020-01-01T04:51:57.000517Z,2021-06-01,175.17,17
17518,661198,992.46,val-518,unique-00017518,false,2020-01-01T04:51:58.000518Z,2021-06-02,175.18,18
17519,96959,993.43,val-519,unique-00017519,false,2020-01-01T04:51:59.000519Z,2021-06-03,175.19,19
17520,532720,994.4,val-520,unique-00017520,true,2020-01-01T04:52:00.000520Z,2021-06-04,175.2,20
17521,968481,995.37,val-521,unique-00017521,false,2020-01-01T04:52:01.000521Z,2021-06-05,175.21,
17522,404242,996.34,val-522,unique-00017522,false,2020-01-01T04:52:02.000522Z,2021-06-06,175.22,22
17523,840003,997.31,val-523,unique-00017523,true,2020-01-01T04:52:03.000523Z,2021-06-07,175.23,23
17524,275764,998.28,val-524,unique-00017524,false,2020-01-01T04:52:04.000524Z,2021-06-08,175.24,24
17525,711525,999.25,val-525,unique-00017525,false,2020-01-01T04:52:05.000525Z,2021-06-09,175.25,25
17526,147286,0.22,val-526,unique-00017526,true,2020-01-01T04:52:06.000526Z,2021-06-10,175.26,26
17527,583047,1.19,val-527,unique-00017527,false,2020-01-01T04:52:07.000527Z,2021-06-11,175.27,27
17528,18808,2.16,val-528,unique-00017528,false,2020-01-01T04:52:08.000528Z,2021-06-12,175.28,
17529,454569,3.13,val-529,unique-00017529,true,2020-01-01T04:52:09.000529Z,2021-06-13,175.29,29
17530,890330,4.1,val-530,unique-00017530,false,2020-01-01T04:52:10.000530Z,2021-06-14,175.3,30
17531,326091,5.07,val-531,unique-00017531,false,2020-01-01T04:52:11.000531Z,2021-06-15,175.31,31
17532,761852,6.04,val-532,unique-00017532,true,2020-01-01T04:52:12.000532Z,2021-06-16,175.32,32
17533,197613,7.01,val-533,unique-00017533,false,2020-01-01T04:52:13.000533Z,2021-06-17,175.33,33
17534,633374,7.98,val-534,unique-00017534,false,2020-01-01T04:52:14.000534Z,2021-06-18,175.34,34
17535,69135,8.95,val-535,unique-00017535,true,2020-01-01T04:52:15.000535Z,2021-06-19,175.35,
17536,504896,9.92,val-536,unique-00017536,false,2020-01-01T04:52:16.000536Z,2021-06-20,175.36,36
17537,940657,10.89,val-537,unique-00017537,false,2020-01-01T04:52:17.000537Z,2021-06-21,175.37,37
17538,376418,11.86,val-538,unique-00017538,true,2020-01-01T04:52:18.000538Z,2021-06-22,175.38,38
17539,812179,12.83,val-539,unique-00017539,false,2020-01-01T04:52:19.000539Z,2021-06-23,175.39,39
17540,247940,13.8,val-540,unique-00017540,false,2020-01-01T04:52:20.000540Z,2021-06-24,175.4,40
17541,683701,14.77,val-541,unique-00017541,true,2020-01-01T04:52:21.000541Z,2021-06-25,175.41,41
17542,119462,15.74,val-542,unique-00017542,false,2020-01-01T04:52:22.000542Z,2021-06-26,175.42,
17543,555223,16.71,val-543,unique-00017543,false,2020-01-01T04:52:23.000543Z,2021-06-27,175.43,43
17544,990984,17.68,val-544,unique-00017544,true,2020-01-01T04:52:24.000544Z,2021-06-28,175.44,44
17545,426745,18.65,val-545,unique-00017545,false,2020-01-01T04:52:25.000545Z,2021-06-29,175.45,45
17546,862506,19.62,val-546,unique-00017546,false,2020-01-01T04:52:26.000546Z,2021-06-30,175.46,46
17547,298267,20.59,val-547,unique-00017547,true,2020-01-01T04:52:27.000547Z,2021-07-01,175.47,47
17548,734028,21.56,val-548,unique-00017548,false,2020-01-01T04:52:28.000548Z,2021-07-02,175.48,48
17549,169789,22.53,val-549,unique-00017549,false,2020-01-01T04:52:29.000549Z,2021-07-03,175.49,
17550,605550,23.5,val-550,unique-00017550,true,2020-01-01T04:52:30.000550Z,2021-07-04,175.5,50
17551,41311,24.47,val-551,unique-00017551,false,2020-01-01T04:52:31.000551Z,2021-07-05,175.51,51
17552,477072,25.44,val-552,unique-00017552,false,2020-01-01T04:52:32.000552Z,2021-07-06,175.52,52
17553,912833,26.41,val-553,unique-00017553,true,2020-01-01T04:52:33.000553Z,2021-07-07,175.53,53
17554,348594,27.38,val-554,unique-00017554,false,2020-01-01T04:52:34.000554Z,2021-07-08,175.54,54
17555,784355,28.35,val-555,unique-00017555,false,2020-01-01T04:52:35.000555Z,2021-07-09,175.55,55
17556,220116,29.32,val-556,unique-00017556,true,2020-01-01T04:52:36.000556Z,2021-07-10,175.56,
17557,655877,30.29,val-557,unique-00017557,false,2020-01-01T04:52:37.000557Z,2021-07-11,175.57,57
17558,91638,31.26,val-558,unique-00017558,false,2020-01-01T04:52:38.000558Z,2021-07-12,175.58,58
17559,527399,32.23,val-559,unique-00017559,true,2020-01-01T04:52:39.000559Z,2021-07-13,175.59,59
17560,963160,33.2,val-560,unique-00017560,false,2020-01-01T04:52:40.000560Z,2021-07-14,175.6,60
17561,398921,34.17,val-561,unique-00017561,false,2020-01-01T04:52:41.000561Z,2021-07-15,175.61,61
17562,834682,35.14,val-562,unique-00017562,true,2020-01-01T04:52:42.000562Z,2021-07-16,175.62,62
17563,270443,36.11,val-563,unique-00017563,false,2020-01-01T04:52:43.000563Z,2021-07-17,175.63,
17564,706204,37.08,val-564,unique-00017564,false,2020-01-01T04:52:44.000564Z,2021-07-18,175.64,64
17565,141965,38.05,val-565,unique-00017565,true,2020-01-01T04:52:45.000565Z,2021-07-19,175.65,65
17566,577726,39.02,val-566,unique-00017566,false,2020-01-01T04:52:46.000566Z,2021-07-20,175.66,66
17567,13487,39.99,val-567,unique-00017567,false,2020-01-01T04:52:47.000567Z,2021-07-21,175.67,67
17568,449248,40.96,val-568,unique-00017568,true,2020-01-01T04:52:48.000568Z,2021-07-22,175.68,68
17569,885009,41.93,val-569,unique-00017569,false,2020-01-01T04:52:49.000569Z,2021-07-23,175.69,69
17570,320770,42.9,val-570,unique-00017570,false,2020-01-01T04:52:50.000570Z,2021-07-24,175.7,
17571,756531,43.87,val-571,unique-00017571,true,2020-01-01T04:52:51.000571Z,2021-07-25,175.71,71
17572,192292,44.84,val-572,unique-00017572,false,2020-01-01T04:52:52.000572Z,2021-07-26,175.72,72
17573,628053,45.81,val-573,unique-00017573,false,2020-01-01T04:52:53.000573Z,2021-07-27,175.73,73
17574,63814,46.78,val-574,unique-00017574,true,2020-01-01T04:52:54.000574Z,2021-07-28,175.74,74
17575,499575,47.75,val-575,unique-00017575,false,2020-01-01T04:52:55.000575Z,2021-07-29,175.75,75
17576,935336,48.72,val-576,unique-00017576,false,2020-01-01T04:52:56.000576Z,2021-07-30,175.76,76
17577,371097,49.69,val-577,unique-00017577,true,2020-01-01T04:52:57.000577Z,2021-07-31,175.77,
17578,806858,50.66,val-578,unique-00017578,false,2020-01-01T04:52:58.000578Z,2021-08-01,175.78,78
17579,242619,51.63,val-579,unique-00017579,false,2020-01-01T04:52:59.000579Z,2021-08-02,175.79,79
17580,678380,52.6,val-580,unique-00017580,true,2020-01-01T04:53:00.000580Z,2021-08-03,175.8,80
17581,114141,53.57,val-581,unique-00017581,false,2020-01-01T04:53:01.000581Z,2021-08-04,175.81,81
17582,549902,54.54,val-582,unique-00017582,false,2020-01-01T04:53:02.000582Z,2021-08-05,175.82,82
17583,985663,55.51,val-583,unique-00017583,true,2020-01-01T04:53:03.000583Z,2021-08-06,175.83,83
17584,421424,56.48,val-584,unique-00017584,false,2020-01-01T04:53:04.000584Z,2021-08-07,175.84,
17585,857185,57.45,val-585,unique-00017585,false,2020-01-01T04:53:05.000585Z,2021-08-08,175.85,85
17586,292946,58.42,val-586,unique-00017586,true,2020-01-01T04:53:06.000586Z,2021-08-09,175.86,86
